filename, language, JSON, C++, Markdown, PHP, JavaScript, HTML, Vue, CSS, SQL, XML, SCSS, comment, blank, total
/Users/jens/Documents/GitHub/pxliot/client/docs/Edit.vue.html, HTML, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 3, 38, 220
/Users/jens/Documents/GitHub/pxliot/client/docs/Graphs.vue.html, HTML, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 3, 43, 338
/Users/jens/Documents/GitHub/pxliot/client/docs/IndividualData.vue.html, HTML, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 3, 30, 230
/Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Add.vue.html, HTML, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 3, 33, 264
/Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Dashboard.vue.html, HTML, 0, 0, 0, 0, 0, 421, 0, 0, 0, 0, 0, 3, 48, 472
/Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Delete.vue.html, HTML, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 3, 33, 206
/Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Edit.vue.html, HTML, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 3, 38, 220
/Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Graphs.vue.html, HTML, 0, 0, 0, 0, 0, 332, 0, 0, 0, 0, 0, 3, 43, 378
/Users/jens/Documents/GitHub/pxliot/client/docs/IoT_IndividualData.vue.html, HTML, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 3, 30, 230
/Users/jens/Documents/GitHub/pxliot/client/docs/Iot.vue.html, HTML, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 3, 31, 145
/Users/jens/Documents/GitHub/pxliot/client/docs/Login.vue.html, HTML, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 3, 30, 205
/Users/jens/Documents/GitHub/pxliot/client/docs/Register.vue.html, HTML, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 3, 35, 210
/Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Bold-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1830, 0, 0, 0, 1830
/Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-BoldItalic-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1830, 0, 0, 0, 1830
/Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Italic-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1830, 0, 0, 0, 1830
/Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Light-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1831, 0, 0, 0, 1831
/Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-LightItalic-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1835, 0, 0, 0, 1835
/Users/jens/Documents/GitHub/pxliot/client/docs/fonts/OpenSans-Regular-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1831, 0, 0, 0, 1831
/Users/jens/Documents/GitHub/pxliot/client/docs/global.html, HTML, 0, 0, 0, 0, 0, 385, 0, 0, 0, 0, 0, 3, 1003, 1391
/Users/jens/Documents/GitHub/pxliot/client/docs/index.html, HTML, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 36, 65
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Add.html, HTML, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 3, 292, 457
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Dashboard.html, HTML, 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 0, 3, 723, 1031
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Delete.html, HTML, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 3, 213, 337
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Edit.html, HTML, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 3, 213, 352
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Graphs.html, HTML, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 3, 253, 400
/Users/jens/Documents/GitHub/pxliot/client/docs/module-IndividualData.html, HTML, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 3, 291, 405
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Iot.html, HTML, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 3, 213, 312
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Login.html, HTML, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 3, 213, 327
/Users/jens/Documents/GitHub/pxliot/client/docs/module-Register.html, HTML, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 3, 213, 332
/Users/jens/Documents/GitHub/pxliot/client/docs/scripts/linenumber.js, JavaScript, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 3, 26
/Users/jens/Documents/GitHub/pxliot/client/docs/scripts/prettify/lang-css.js, JavaScript, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
/Users/jens/Documents/GitHub/pxliot/client/docs/scripts/prettify/prettify.js, JavaScript, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
/Users/jens/Documents/GitHub/pxliot/client/docs/styles/jsdoc-default.css, CSS, 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 55, 359
/Users/jens/Documents/GitHub/pxliot/client/docs/styles/prettify-jsdoc.css, CSS, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 17, 17, 112
/Users/jens/Documents/GitHub/pxliot/client/docs/styles/prettify-tomorrow.css, CSS, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 33, 26, 133
/Users/jens/Documents/GitHub/pxliot/client/jest.config.js, JavaScript, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
/Users/jens/Documents/GitHub/pxliot/client/jsdoc.json, JSON, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
/Users/jens/Documents/GitHub/pxliot/client/package-lock.json, JSON, 15951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15952
/Users/jens/Documents/GitHub/pxliot/client/package.json, JSON, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
/Users/jens/Documents/GitHub/pxliot/client/public/index.html, HTML, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 2, 22
/Users/jens/Documents/GitHub/pxliot/client/sql/tests.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
/Users/jens/Documents/GitHub/pxliot/client/sql/updatesensor.sql, SQL, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
/Users/jens/Documents/GitHub/pxliot/client/src/App.vue, Vue, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
/Users/jens/Documents/GitHub/pxliot/client/src/assets/logo.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
/Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/_colors.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 5, 15
/Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/_responsive.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 9, 39, 225
/Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/base/_base.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 1, 10, 50
/Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 3, 12
/Users/jens/Documents/GitHub/pxliot/client/src/assets/scss/vendors/_normalize.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 173, 96, 465
/Users/jens/Documents/GitHub/pxliot/client/src/components/project.vue, Vue, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
/Users/jens/Documents/GitHub/pxliot/client/src/components/sidebar.vue, Vue, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 4, 96
/Users/jens/Documents/GitHub/pxliot/client/src/firebase.js, JavaScript, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 2, 16
/Users/jens/Documents/GitHub/pxliot/client/src/main.js, JavaScript, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 5, 29
/Users/jens/Documents/GitHub/pxliot/client/src/plugins/vuetify.js, JavaScript, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
/Users/jens/Documents/GitHub/pxliot/client/src/router/index.js, JavaScript, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 2, 8, 125
/Users/jens/Documents/GitHub/pxliot/client/src/views/Home.vue, Vue, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 5, 108
/Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Add.vue, Vue, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 39, 15, 214
/Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Dashboard.vue, Vue, 0, 0, 0, 0, 0, 0, 388, 0, 0, 0, 0, 77, 38, 503
/Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Delete.vue, Vue, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 29, 16, 159
/Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Edit.vue, Vue, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 31, 21, 173
/Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/Graphs.vue, Vue, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 84, 28, 357
/Users/jens/Documents/GitHub/pxliot/client/src/views/IoT/IndividualData.vue, Vue, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 23, 14, 194
/Users/jens/Documents/GitHub/pxliot/client/src/views/Iot.vue, Vue, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 19, 13, 94
/Users/jens/Documents/GitHub/pxliot/client/src/views/Login.vue, Vue, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 23, 12, 155
/Users/jens/Documents/GitHub/pxliot/client/src/views/Register.vue, Vue, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 24, 17, 157
/Users/jens/Documents/GitHub/pxliot/client/tests/unit/example.spec.js, JavaScript, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
/Users/jens/Documents/GitHub/pxliot/client/vue.config.js, JavaScript, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
/Users/jens/Documents/GitHub/pxliot/php/connection.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
/Users/jens/Documents/GitHub/pxliot/php/feed.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
/Users/jens/Documents/GitHub/pxliot/php/send.php, PHP, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
Total, -, 16704, 120, 74, 42, 863, 7524, 1724, 915, 8, 21975, 426, 1041, 9347, 60763
